Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 02/22  24:00:00,20.0,20.0,20.0,20.0,2720292.9523259897,0.0,2197314.0892288095,0.0,2016048.9221201656,0.0,3527536.4208093427,0.0 
 02/23  01:00:00,20.0,20.0,20.0,20.0,3116031.2006086257,0.0,2611599.872786182,0.0,2449278.634268831,0.0,3946758.092213931,0.0 
 02/23  02:00:00,20.0,20.0,20.000000000000005,20.0,3463677.8901013724,0.0,2975597.5502315477,0.0,2828207.529206647,0.0,4325737.045554301,0.0 
 02/23  03:00:00,20.0,20.0,20.0,20.0,3743676.235494685,0.0,3268462.2962525144,0.0,3133470.0846337995,0.0,4646978.531917514,0.0 
 02/23  04:00:00,20.0,20.0,20.0,20.0,3961836.397691138,0.0,3497030.49106285,0.0,3372726.147398867,0.0,4915265.820420838,0.0 
 02/23  05:00:00,20.0,20.0,20.0,20.0,4121393.1999043009,0.0,3665428.523157448,0.0,3550553.9726721078,0.0,5132363.031506486,0.0 
 02/23  06:00:00,20.0,20.0,20.0,19.999999999999998,4244658.206759496,0.0,3796397.6820936484,0.0,3690009.074153618,0.0,5318801.155801304,0.0 
 02/23  07:00:00,19.999999999999998,20.0,20.0,20.0,4302288.714381563,0.0,3861026.381570068,0.0,3762653.105117972,0.0,5447045.755672357,0.0 
 02/23  08:00:00,20.0,20.0,20.0,20.0,4052965.030859273,0.0,3582811.0802002775,0.0,3437752.530434979,0.0,5217827.1684397789,0.0 
 02/23  09:00:00,20.0,19.999999999999998,20.0,20.0,3378755.7343103999,0.0,2807349.6416448296,0.0,2513257.6462337456,0.0,4421384.488507821,0.0 
 02/23  10:00:00,20.0,20.0,20.000000000000005,20.0,2525768.694416354,0.0,1820966.4900766875,0.0,1352909.5722999394,0.0,3375650.1568072929,0.0 
 02/23  11:00:00,20.0,20.0,20.011775410898488,20.0,1556224.8212159496,0.0,741711.4281842224,0.0,220825.8397780839,0.0,2244598.628882329,0.0 
 02/23  12:00:00,20.000000000000005,20.057389122992857,20.259849341994966,20.0,618915.0528305604,0.0,23535.91924608336,0.0,0.0,0.0,1224345.6003523898,0.0 
 02/23  13:00:00,20.073258023736018,20.382732289612276,20.678788084349546,20.005305739590189,18061.489251475727,0.0,0.0,0.0,0.0,0.0,281928.115605691,0.0 
 02/23  14:00:00,20.37920291345644,20.791818879546275,21.134369409407243,20.14987153265965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/23  15:00:00,20.57396048383618,21.016851328288359,21.391189632667847,20.291205761217939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/23  16:00:00,20.579687206787268,21.020686341995739,21.392662111650777,20.273224806332519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/23  17:00:00,20.402416100497157,20.819268783305128,21.1507318515679,20.093353208994477,0.0,0.0,0.0,0.0,0.0,0.0,45465.26306386659,0.0 
 02/23  18:00:00,20.09695221193184,20.465736844077389,20.729150669949886,20.000000004577627,94495.49265788954,0.0,0.0,0.0,0.0,0.0,896194.8982382339,0.0 
 02/23  19:00:00,20.000000000003064,20.114845319482993,20.322771908906274,20.0,799550.426355237,0.0,33836.799683282145,0.0,0.0,0.0,1714348.2389872149,0.0 
 02/23  20:00:00,20.0,20.000000005706839,20.038451954591407,20.0,1356207.5425382895,0.0,630546.3935142601,0.0,161947.95891156823,0.0,2278296.178585918,0.0 
 02/23  21:00:00,20.0,20.0,20.00000000000001,20.0,1826992.2964924917,0.0,1164518.5715551852,0.0,814980.7356584525,0.0,2757972.1985422556,0.0 
 02/23  22:00:00,20.0,20.0,20.000000000000005,20.0,2307394.072922887,0.0,1684518.4447776934,0.0,1386918.7044817389,0.0,3240563.2672036655,0.0 
 02/23  23:00:00,20.0,20.000000000000005,20.0,20.0,2633670.2168999386,0.0,2039537.3214036837,0.0,1776622.729601024,0.0,3577035.3862728469,0.0 
 02/23  24:00:00,20.0,20.0,20.0,20.0,2761772.824096473,0.0,2190266.0673615599,0.0,1953169.3465253236,0.0,3733127.4321954359,0.0 
 02/24  01:00:00,20.0,20.0,20.0,20.0,2763163.8394755695,0.0,2210167.7746108646,0.0,1993027.3726298882,0.0,3775458.166485971,0.0 
 02/24  02:00:00,20.0,20.0,20.0,20.0,2611031.1500862038,0.0,2073651.4559447156,0.0,1872593.9015955695,0.0,3674181.0536813635,0.0 
